表名,估算行数
"TBLOPQCREASONDETAIL","135770"
"TBLOPQCREASONFAILEDLIST","0"
"TBLOPRECIPEMAP","0"
"TBLOPRECIPETEMP_ACCESSORY","0"
"TBLOPRECIPETEMP_ATTRIBUTE","0"
"TBLOPRECIPETEMP_MATERIAL","0"
"TBLOPRECIPETEMP_SHOW","0"
"TBLOPRECIPETEMPBASIS","0"
"TBLOPRULE","0"
"TBLOPRULEXML_CLOB","0"
"TBLOPSCENARIOBASIS","0"
"TBLOPSCENARIONODEBASIS","0"
"TBLOPSCENARIONODERELATION","0"
"TBLOPSCENARIOXML_CLOB","0"
"TBLOPSUBOP","37"
"TBLOPSUBOPBASIS","0"
"tblOPSUBOPPrice","0"
"TBLOPTYPE","6"
"tblOPWait","0"
"TBLORDERBASIS","16"
"TBLPDLINEPOSITIONERROR","0"
"TBLPMBREAKDOWNBASIS","0"
"TBLPMEQPBREAKDOWNLOG","0"
"TBLPMEQPBREAKDOWNLOGDETAIL","0"
"TBLPMEQPBREAKDOWNSTATE","0"
"TBLPMEQPBREAKDOWNSTATEDETAIL","0"
"TBLPMEQPDISPATCHLOG","593"
"TBLPMEQPDISPATCHSTATE","545"
"TBLPMEQPMAINKNOWBASIS","1"
"TBLPMEQPMAINTENANCEPLAN","207"
"TBLPMEQPMAINTENANCEPLANLOG","283"
"TBLPMEQPMAINTENCELOG","1334"
"TBLPMEQPMAINTENCESTATE","346"
"TBLPMEQPREPAIRLOG","0"
"TBLPMEQPREPAIRLOGDETAIL","0"
"TBLPMEQPTYPEBREAKDOWNMAP","0"
"TBLPMEQPTYPESOPBASIS","94"
"TBLPMEQPUSERRECORD","537"
"TBLPMFIXEDQTYPMBASIS","0"
"TBLPMFIXEDTIMESPMBASIS","0"
"TBLPMFREQUENCYBASIS","7"
"TBLPMJOBTYPEBASIS","26"
"TBLPMMAINTENANCEITEMBASIS","333"
"TBLPMMAINTENANCETYPEBASIS","265"
"TBLPMMAINTENCEITEMDETAIL","1400"
"TBLPMREPAIRBASIS","0"
"TBLPMSOPBASIS","93"
"TBLPMSOPCounter","0"
"TBLPMSOPDETAIL","648"
"TBLPMSUBSTITUTIONBASIS","597"
"TBLPMSUBSTITUTIONDETAIL","8"
"TBLPMSUBSTITUTIONGROUPBASIS","0"
"TBLPMSUBSTITUTIONGROUPDETAIL","0"
"TBLPMSUBSTITUTIONONBASIS","0"
"TBLPMSUBSTITUTIONONGROUPBASIS","0"
"TBLPMSUBSTITUTIONONGROUPDETAIL","0"
"TBLPMSUBSTITUTIONTYPE","1"
"TBLPMSUBSTITUTIONUSEDDETAIL","0"
"TBLPMSUBSTITUTIONVENCONTACTOR","0"
"TBLPMSUBSTITUTIONVENDOR","0"
"TBLPMSUBSTITUTIONVENDORMAP","0"
"TBLPMTOOLUSEDDETAIL","0"
"TBLPMWOBASIS","275"
"TBLPMWOBASIS_HIS","0"
"TBLPMWODETAIL","307"
"TBLPMWODETAIL_HIS","0"
"TBLPMWODETAILCHANGELOG","0"
"TBLPRDACCESSORY","0"
"tblPRDACCLifeDeductionRate","0"
"TBLPRDAUTOSPLITBIN","0"
"TBLPRDAUTOSPLITDATACHANGE","0"
"TBLPRDAUTOSPLITDETAIL","0"
"TBLPRDAUTOSPLITRULE","0"
"TBLPRDBOM","0"
"TBLPRDBOMMATERIALGROUP","0"
"tblPRDDoubleUnitNoBasis","14"
"TBLPRDENGBASIS","0"
"TBLPRDENGOPRECIPE","0"
"TBLPRDENGPROPERTY","0"
"TBLPRDENGRECIPE_ACCESSORY","0"
"TBLPRDENGRECIPE_ATTACH","0"
"TBLPRDENGRECIPE_ATTACHFILE","0"
"TBLPRDENGRECIPE_ATTRIBUTE","0"
"TBLPRDENGRECIPE_MATERIAL","0"
"TBLPRDENGRECIPE_SHOW","0"
"TBLPRDENGRECIPEBASIS","0"
"TBLPRDEQCSAMPLERULE","0"
"TBLPRDEQCSAMPLERULEBIN","0"
"TBLPRDEQPCONSTRAINT","0"
"tblPRDEquipmentSpec","0"
"tblPRDeSOP_File","0"
"tblPRDeSOPBasis","0"
"tblPRDeSOPBasisNew","10562"
